PERFIS;wagsantisteban;danilogentili;Leah_Sandy;rafinhabastos;huckluciano;marcelotas;programapanico;rosana;kibeloco;melhoresfrases;;;;;;;;;;;;;
185;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili Gripe Suína ajuda a desmatar as florestas, afinal de contas, onde iremos secar a mãoo depois de tanto as lavar.;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT: @rafinhabastos: RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;O notebook do @huckluciano pegou uma gripe suína!!!;RT @marcelotas RT @SOBERANIS Gripe suína mata 11 no Recife. Jogadores do Sport nem conseguiram anotar a placa do porco que os atropelou.;@programapanico PANICO + TWITTER + GRIPE SUINA = FIM DOS TEMPOS;"No O Tempo: ""Gripe suína. Sãoo Paulo anuncia dois possão­veis casos."" Alguém tem uma máscara como a da @rosana pra me dar?";RT @kibeloco: Gripe suína já matou 16. Ou seja, precisa matar mais uns 400 para chegar perto do estrago que a dengue fez  no ano passado.;-;;;;;;;;;;;;;
186;RT  @wagsantisteban 4 mil pessoas têm gripe suína e td mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili gripe suína, gripe suína, gripe suína, gripe suína, gripe suína, gripe suína.;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.  (via @rafinhabastos);@huckluciano Se eu nãoo ganhar esse Iphone da Vivo eu te tomo a raquete mata-mosquito e vc vai ter que rebolar pra nãoo pegar a gripe suina...;RT @marcelotas: RT @SOBERANIS Gripe suína mata 11 no Recife. Jogadores do Sport nem conseguiram anotar a placa do porco que os atropelou.;@programapanico;MEU DEUS @rosana e companhia estãoo estãoo fazendo da #gripesuina o novo caos aéreo;RT @kibeloco Gripe suína já matou 16. Ou seja, precisa matar +uns 400 para chegar perto do estrago que a dengue fez por aqui ano passado.;-;;;;;;;;;;;;;
187;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili BãoAAAA :O @rafinhabastos nãoo, a mulher ta se protegendo da gripe suína ;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT @vivianepereira: RT @rafinhabastos 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo;@huckluciano cuidado com a gripe suína em bariloooche!hehehehe....=);RT @marcelotas RT @SOBERANIS Gripe suína mata 11 no Recife. Jogadores do Sport nem conseguiram anotar a placa do porco que os atropelou.;@programapanico ae! Acabou a crise mundial, agora o assunto é gripe suína! vamos pensar estamos pobres e doentes q q falta? Ser argentinos?;"RT @rosana: O cara diz que o Twitter ""pode estar ajudando a espalhar a gripe suína, criando pânico"".  - http://migre.me/I6O";RT @kibeloco Gripe suína já matou 16. Ou seja, precisa matar mais uns 400 para chegar perto do estrago que a dengue fez por aqui ano passado;-;;;;;;;;;;;;;
188;rt @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@danilogentili http://twitpic.com/d6xrw - é o jeito de espantar gripe Suína #trocadilho;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT  @rafinhabastos RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa camisinha;@huckluciano Já pensou as notícias? Luciano e Angélica trazem a gripe suína p Rio de Janeiro!! Exigem insalubridade no salário heim!! Rsrs;RT @Tasmarcelotas RT @SOBERANIS Gripe suína mata 11 no Recife. Jogadores do Sport nem conseguiram anotar a placa do porco que os atropelou.;@programapanico Quero Saber se conversar com palmeirense pega a gripe suína???Marcos;"O cara diz que o Twitter ""pode estar ajudando a espalhar a gripe suína, criando pânico"".  - http://migre.me/I6O (via @rosana)";RT @kibeloco Gripe suína já matou 16. Ou seja, precisa matar mais uns 400 para chegar perto do estrago que a dengue fez por aqui ano passado;-;;;;;;;;;;;;;
189;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili o @DiogoPortugal é tãoo distraão­do que tá com gripe suína faz 2 meses e ainda nãoo começou a apresentar os sintomas;RTCynTavares @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"RT @rafinhabastos RT: @niltoncomedy ""90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.""";@huckluciano que luxo vcs hein! queria ir tb skiar de novo, mas com essa gripe suína, melhor deixar pra outra época...;RT @marcelotas: RT @SOBERANIS Gripe suína mata 11 no Recife. Jogadores do Sport nem conseguiram anotar a placa do porco que os atropelou.;@programapanico Sintomas da gripe suína!;@rosana Esse tipo de máscara nãoo te protege dos vírus mutantes da gripe suína... cuidado!;RT: @kibeloco: Gripe suína matou 16. Ou seja, precisa matar mais uns 400 para chegar perto do estrago que a dengue fez por aqui ano passado.;-;;;;;;;;;;;;;
190;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili @DiogoPortugal e tao distraido que acha que gripe suína é um vírus que está atacando o México!;@Leah_Sandy @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT @rafinhabastos 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo;@huckluciano mas ai em bariloche vcs e as crianças estãoo de mascaras, nun tãoo com medo da H1N Gripe suina q aki no brasil esta como SULINA;RT @marcelotas: RT @SOBERANIS Gripe suína mata 11 no Recife. Jogadores do Sport nem conseguiram anotar a placa do porco que os atropelou. rs;-;RT rosana#gripesuina. Você pode comer A carne do porco. Você nãoo pode é comer O porco (ou a porca), nem ter contato pessoal, afetivo c/ eles;RT @kibeloco Gripe suína já matou 16. Ou seja,precisa matar mais uns 400 para chegar perto do estrago que a dengue fez por aqui ano passado.;-;;;;;;;;;;;;;
191;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili O @DiogoPortugal e tao distraido que pegou gripe suina e acha que é a gripe aviaria;RT @Leah_Sandy @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ngm quer usar camisinha!;RT: @rafinhabastos @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@huckluciano Já nós, em Vila Velha, ES, lotados de dengue e chegando a gripe suína... Epidemia dupla! Socorro!;RT @marcelotas: RT @SOBERANIS Gripe suína mata 11 no Recife. Jogadores do Sport nem conseguiram anotar a placa do porco que os atropelou.;-;RT: @Cardoso: @rosana o xkcd foi preciso como sempre: http://xkcd.com/574/ #gripesuina;@kibeloco: Gripe suína já matou 16. Ou seja, precisa matar mais uns 400 para chegar perto do estrago que a dengue fez por aqui ano passado.;-;;;;;;;;;;;;;
192;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili O @DiogoPortugal e tao distraido que pegou gripe suina e acha que é a gripe aviaria;RT @Leah_Sandy  4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;RT: @rafinhabastos: RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;"RT@huckluciano:Tudo bem q aqui na Patagonia nãoo teve nenhum caso d gripe suína,mas ninguém ouviu""as preces""do ministro.Tá lotado de brasuca!";RT@marcelotas@SOBERANIS Gripe suína mata 11 no Recife. Jogadores do Sport nem conseguiram anotar a placa do porco que os atropelou.;-;@rosana torcer pro time do Palmeiras é risco de pegar gripe suína?;RT @kibeloco Gripe suína já matou 16. Ou seja, precisa matar mais uns 400 para chegar perto do estrago que a dengue fez por aqui ano passado;-;;;;;;;;;;;;;
193;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili é tãoo desprezivel que se pegar gripe suina ela vira pururuca..;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT: @rafinhabastos: RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@huckluciano Brasileiro se espalha mutio mais rápido que gripe suína. XD Fato!!!!;RT: @marcelotas: RT @SOBERANIS Gripe suína mata 11 no Recife. Jogadores do Sport nem conseguiram anotar a placa do porco que os atropelou.;-;@rosana judeu escapa da gripe suína?;RT @kibeloco gripe suína já matou 16. Ou seja, precisa matar mais uns 400 para chegar perto do estrago que a dengue fez por aqui ano passado;-;;;;;;;;;;;;;
194;RT: @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili O Danilo Gentili é tãoo desprezão­vel que nem a gripe suína passa perto;RT @Leah_Sandy RT 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT @rafinhabastos RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@huckluciano ;RT @marcelotas: RT @SOBERANIS Gripe suína mata 11 no Recife. Jogadores do Sport nem conseguiram anotar a placa do porco que os atropelou.;-;"RT: @rosana: O cara diz que o Twitter ""pode estar ajudando a espalhar a gripe suína, criando pânico"".  - http://migre.me/I6O";RT @kibeloco Gripe suína já matou 16. Ou seja, precisa matar mais uns 400 para chegar perto do estrago que a dengue fez por aqui ano passado;-;;;;;;;;;;;;;
195;RT Soninhaa @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras.33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili Eu iria... se nãoo fosse a gripe suína!!!;RT @ Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT @rafinhabastos: RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@huckluciano Hahaha, seu comentário sobre a gripe suína me fez lembrar de uma notícia que saiu no jornal A Tribuna, de Vitória/ES.(continua);RT @marcelotas: RT @SOBERANIS Gripe suína mata 11 no Recife. Jogadores do Sport nem conseguiram anotar a placa do porco que os atropelou.;-;@rosana O twitter também é uma fonte de informaçoes,gerando o debate e o conhecimento podemos enfrentar a gripe suína de forma satisfatoria.;@Blogdorichard Richard, parabéns pela série Efeito ''Gripe Suína'' no KL. ótima parceria blogdorichard + kibeloco. Suuuucesso...;-;;;;;;;;;;;;;
196;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;O @DaniloGentili é tãoo desprezão­vel que a gripe suína nãoo afeta ele.;RT Leah_SandyRT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar c ...;RT @rafinhabastos RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@huckluciano Que maldade...um visionário, usava mascaras prevendo a gripe suina!;@dennydesign @marcelotas : Gripe suína mata mais 11 no Recife. Jogadores do Sport nãoo anotaram nem a placa do porco que os atropelou.;-;RT @rosana: Gripe suína. Estou preocupada com a MIss Piggy.;"Teorias da onspiração:""Essa tal gripe suína é invenção da Globo para desviar a atenção da roubalheira no Campeonato Estadual!""@kibeloco";-;;;;;;;;;;;;;
197;RT @wagsantisteban 4 MIL pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"@DaniloGentili ""é tãoo desprezão­vel que... ão‘ consegue nem pegar gripe suína numa fazenda d porcos em q ele costuma visitar em Brasão­lia...";RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;RT @rafinhabastos: RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;eu estou tambem estou indo para bariloche e vc que ja esta ai pode me dizer se a gripe suina esta preocupante ai na cidade ? @huckluciano;@marcelotas Meu, onde tava o Serra falando da gripe suína? Onde tava a Maísa chorando? Mas confesso que o mosh no futebol valeu o TOP 1!;-;RT @rosana: Gripe suína. Estou preocupada com a MIss Piggy.;@kibeloco minha avó achou a cura pra gripe suína!!!;-;;;;;;;;;;;;;
198;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"@DaniloGentili ""O Danilo Gentili é tãoo desprezão­vel que a gripe suina poderia ser chamada de gripe Danilo""";RT@Leah_Sandy : 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@rafinhabastos 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@huckluciano ;A gripe suína invertendo os papéis http://migre.me/13We No blog @marcelotas;-;A doença que tá me preocupando mesmo é a gripe suína, minha filha tá de cama e assim como @rosana, eu tbm me preocupo d+ com a @misspiggz;#kibeloco Efeito da gripe suina (2)! http://migre.me/PVI ... pobre lobo mau!;-;;;;;;;;;;;;;
199;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili Bicho tu nãoo cança de trabalhar nãoo? auhuhauauahua desse jeito nem a Gripe Suina vai querer te pegar.. ai fica a dica;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;RT @rafinhabastos: RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;"@huckluciano Aqui no Rio já começou""santo inácio suspende as aulas:dois casos de gripe suina ate dois de julho....""";RT @raphaelinacio RT @NathyCalina @marcelotas! Coloca o vão­deo do José Serra sobre a Gripe Suína no TOP 5! http://bit.ly/9RLNL;-;@rosana #GripeSuína tou preocupado com a torcida do Palmeiras.;#kibeloco Efeito da gripe suina! http://migre.me/PVF ... eles nao sabem!;-;;;;;;;;;;;;;
200;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili O Danilo Gentili é tãoo desprezão­vel que nem se ele quisesse pegar a gripe suína ele conseguiria;RT@Leah_SandyRT  4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;RT: @niltoncomedy @rafinhabastos 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@huckluciano  Melhor te passar o projeto aqui? RS Estou te esperando Manda um beijo para a familia  e cuidado imagina gripe suina argentina?;RT @NathyCalina @marcelotas! Coloca o vão­deo do José Serra sobre a Gripe Suína no TOP 5! http://bit.ly/9RLNL;-;@rosana só falta agora o Luis Ignoracio dizer que a gripe suina nãoo passa de um simples torresminho...;"RT @kibeloco Efeito ""Gripe Suína"" (http://migre.me/PLI),muito baum!";-;;;;;;;;;;;;;
201;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;O @DaniloGentili é tãoo desprezão­vel que nem o virus da gripe suina aguentou ficar nele;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo. (via @rafinhabastos);O @huckluciano vai mandar noticias da gripe suina direto da Argentina. Espero que tenham feito uma mascara especial pra ele...ou reforçada!;Pá, @marcelotas coloca o vão­deo do Serra no TopFive! A maneira didática do Serra pra falar de Gripe Suína!;-;@rosana esta máscara é por causa da gripe suína???;"RT @kibeloco: Efeito ""Gripe Suína"" (partes 1, 2 e 3): http://migre.me/PLI";-;;;;;;;;;;;;;
202;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili é tãoo desprezão­vel q nem a gripe suína quer pegar ele!;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;RT @rafinhabastos: RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@huckluciano CUIDADO! com tanta gente com a gripe suína por ae, já já vc vai virar palmerense!;@marcelotas pergunte se elas sãoo a favor ou contra a gripe suina :x;-;@rosana e o twitter do meu amigo @pamattos que SU-MIU? Sumiu tudo da conta dele, seguidores, seguidos. é a gripe suina q chegou no twiiter?;"RT @kibeloco Efeito ""Gripe Suína"" (partes 1, 2 e 3): http://migre.me/PLI";-;;;;;;;;;;;;;
203;RT @virninham: RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo usa máscara. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;O @DaniloGentili é tãoo desprezão­vel que até a gripe suina nãoo quer pegar ele!;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT: @niltoncomedy @rafinhabastos 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo;"Luciano Huck estava ""twittando"" até agora a pouco direto da Argentina. Foi buscar a familia e esta assustado com a gripe suina. @huckluciano";@marcelotas pergunta qual a reação delas diante da gripe suína! Se elas continuam comendo carne de porco! XD;-;RT @rosana: A gripe suina ja chegou ao Twitter... - http://migre.me/f/GR8;"RT @kibeloco: Efeito ""Gripe Suína"" (partes 1, 2 e 3): http://migre.me/PLI";-;;;;;;;;;;;;;
204;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"@DaniloGentili ... que até o virus da gripe suina se recusa a infectá-lo para nãoo ""queimar o filme""";RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT: @rafinhabastos RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@huckluciano Tá muito acostumado com a dengue carioca(que, aliás, já matou mais que a gripe suína). hehe;@marcelotas alguma que queira ajudar na luta contra a Gripe Suína;-;@rosana Hoje sua máscara deveria ser preta e branca. E esta semana teremos mais gripe Suína com a derrota do porco.;"RT @kibeloco Efeito ""Gripe Suína"" (partes 1, 2 e 3): http://migre.me/PLI";-;;;;;;;;;;;;;
205;RT @virninham: RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo usa máscara. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;O @DaniloGentili é tãoo desprezão­vel que entre ele e a gripe suína fico com a gripe suína.;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT: rafinhabastos RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;Para saebr notícias da Gripe suína na Argentina: @huckluciano;@marcelotas o que vc faria pra curar a gripe suína?;-;@rosana dois textos esclaredores sobre a gripe suína: http://migre.me/Hcz e http://migre.me/Hpp #cienciaecultura;RT @kibeloco: Lula e a gripe suína: http://migre.me/N9G;-;;;;;;;;;;;;;
206;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"RT @DaniloGentili ""O Danilo Gentili é tãoo desprezão­vel que a gripe suína prefere o Sarney"".";RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo. (via @rafinhabastos);@huckluciano Correspondente internacional!!!!! kkkkkkk Veja pelo lado bom, viaja e ainda tem direito a uma gripe suina novinha em folha!! rs;@marcelotas Tas, eu vou fazer uma teoria da Conspiração sobre a gripe suína, você quer me ajudar? 8);-;Faça como a @rosana , esteja informado e se proteja da Gripe Suína - http://migre.me/Hj8 // calma sem pânico!;RT @kibeloco: Lula e a gripe suina: http://migre.me/f/N9G;-;;;;;;;;;;;;;
207;RT @wagsantisteban 4 mil pessoas tem gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;o @DaniloGentili é tãoo desprezão­vel que se ele pegasse gripe suína, o vírus ia perguntar o que fez para receber esse castigo!;RT Leah_Sandy ... 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT rafinhabastos RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@huckluciano Luciano Huck corajoso hem é da minha tribo de nariz grande e tem coragem de ir pra Argentina sugar o ar da gripe suína... rs;@marcelotas O tempo hoje está como a gripe suína e o estado de saúde da Dilma: Ameaça tempestade e vem garoa...;-;@rosana Mas pq vc tá com medo da gripe suína? Vc nãoo pode comer carne de porco! Né?;"e vou pegar carona no @kibeloco e dizer ""grandes mentiras da humanidade: o Brasil está totalmente preparado para a gripe suína""";-;;;;;;;;;;;;;
208;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili ... põe mil pessoas em um ambiente fechado em tempos de gripe suína...;RT @Queltn RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT:@rafinhabastosRT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@huckluciano Ao vivo direto do Twitter Luciano Huck com informações exclusivas sobre a gripe suína. Só nãoo queira experimentar!!!!!! Abraço;"@marcelotas Frase do Governador Serra: ""A gripe suína é transmitida dos porquinhos para as pessoas só quando eles espirram!"" Top Five nele?";-;@rosana fiz um resumo do que se sabe da gripe suína: http://migre.me/Hcz;hahhahahah... entrem no www.kibeloco.com.br e vejam o profeta da gripe suina!!;-;;;;;;;;;;;;;
209;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;a minha peça em sãoo caetano foi cancelada por causa da gripe suína. A do @DaniloGentili , em um teatro bem maior, nãoo. Tem explicação?;RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;RT: @rafinhabastos RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@huckluciano Acho que essa história de gripe suína, ou A, já tá muito popularizada. ninguém mais dá importancia suficiente pro caso =/;@Camiseteria @joao_gordo @casseta @marcelotas @rafinhabastos A gripe suína já chegou no Peru ! Falta pouco pra chegar no Butãoo (País).;-;como fez a @rosana meu tweet esta devidamente protegido da gripe suina;Gripe Suína? Segundo o presidente, nãoo há motivo para preocupação: http://migre.me/Oie (by kibeloco);-;;;;;;;;;;;;;
210;@wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;@DaniloGentili isso já perseguição...daki a pouco vc espirra e vãoo dizer q vc ta zuando com qm ta com a gripe suina Â¬Â¬;@Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha;RT: @rafinhabastos: RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@huckluciano Eu nãoo teria coragem de ir agora em Buenos Aires, por causa desse surto da gripe suina, voce é muito corajoso;@Camiseteria @joao_gordo @casseta @marcelotas @rafinhabastos A gripe suína já chegou no Peru ! Agora teremos a gripe aviária novamente !;-;@rosana http://twitpic.com/40ql5 - Nossa perfeito heheheh e muito boa essa contra a gripe suína hehehe;ahahaha RT @kibeloco Gripe Suína Fashion Week: http://migre.me/NLO;-;;;;;;;;;;;;;
211;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"@DaniloGentili ""Em tempos de Gripe Suína, se deu bem quem é vegetariano!""";RT @Leah_Sandy RT @wagsantisteban 4 mil pessoas têm gripe suína e td mundo quer usar máscaras.33 MILHõeS têm AIDS e ngm quer usar camisinha!;RT: @rafinhabastos: RT: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@cheecorocha retiro o que disse sobre o @huckluciano, mais levar mata mosquito para a Argentina com medo da Gripe Suína?;@marcelotas Caidamente lento. Desisto. Mas fica a pergunta: Espirito de porco pega a gripe suína? E quem come a Mirian Leitãoo, pega?;-;RT @Ro_marques: como fez a @rosana meu tweet esta devidamente protegido da gripe suina. #flu #seamodapega;RT @kibeloco: Gripe Suína Fashion Week: http://migre.me/NLO;-;;;;;;;;;;;;;
212;RT @wagsantisteban 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;"@rafinhabastos @DaniloGentili Nãoo entro no Twitter e orkut por recomendação médica sobre a gripe suína: ""Evite as aglomerações humanas""....";RT @Leah_Sandy 4 mil pessoas têm gripe suína e todo mundo quer usar máscaras. 33 MILHõeS têm AIDS e ninguém quer usar camisinha!;RT: @rafinhabastos: @niltoncomedy 90 pessoas pegam gripe suína e todos usam máscara. Um milhãoo tem AIDS e ninguém usa preservativo.;@huckluciano -&gt;@marcelotas pra vc! RT: @pedrobeck: @oprimo Com esse papo de gripe suína você ainda comeria a Miriam Leitãoo?;-;como fez a @rosana meu tweet esta devidamente protegido da gripe suina. #flu;RT @kibeloco - http://migre.me/NLO - Gripe suína Fashion Week;-;;;;;;;;;;;;;
